,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
2007-06-29,30.7900,30.9000,29.0400,29.4700,21.3862,1181412800,0.0000
2007-05-31,29.9400,31.1600,29.9000,30.6901,22.2716,1327154700,0.1000
2007-04-30,27.8900,30.7400,27.5600,29.9400,21.6572,958964900,0.0000
2007-03-30,27.8200,28.5500,26.6000,27.8700,20.1599,1269506500,0.0000
2007-02-28,30.8400,30.9400,27.7900,28.1700,20.3769,1290850900,0.1000
2007-01-31,29.9100,31.4800,29.4000,30.8600,22.2460,1324518200,0.0000
2006-12-29,29.2300,30.2600,28.8000,29.8600,21.5251,1137160900,0.0000
2006-11-30,28.7800,30.0001,28.5800,29.3600,21.1647,1239142000,0.1000
2006-10-31,27.3200,28.8501,27.1500,28.7100,20.6256,1290967400,0.0000
2006-09-29,25.8900,27.5200,25.3900,27.3500,19.6485,1097482600,0.0000
2006-08-31,24.0200,26.2501,23.8500,25.7000,18.4632,1134188400,0.0900
2006-07-31,23.5300,24.6000,22.2300,24.0600,17.2220,1332298100,0.0000
2006-06-30,22.7400,23.6500,21.4599,23.3000,16.6780,1971637200,0.0000
2006-05-31,24.3300,25.0000,22.4500,22.6500,16.2127,2309193400,0.0900
2006-04-28,27.6700,27.9410,24.0000,24.1500,17.2195,1446126900,0.0000
2006-03-31,26.9900,28.2200,26.6200,27.2100,19.4013,1437940900,0.0000
2006-02-28,27.9500,28.0700,26.3400,26.8700,19.1589,1047699000,0.0900
2006-01-31,26.2500,28.3800,26.1000,28.1500,20.0046,1388622700,0.0000
2005-12-30,27.7300,28.1010,26.1000,26.1500,18.5833,1271695500,0.0000
2005-11-30,25.6100,28.2500,25.6100,27.6800,19.6706,1444948300,0.0800
2005-10-31,25.7100,25.8000,24.2500,25.7000,18.2106,1439659900,0.0000
2005-09-30,27.3800,27.3900,25.1200,25.7300,18.2318,1348861500,0.0000
2005-08-31,25.8200,27.9400,25.7600,27.3800,19.4010,1441979300,0.0800
2005-07-29,24.8500,26.4800,24.5000,25.6100,18.0934,1321407700,0.0000
2005-06-30,25.7300,26.0000,24.8200,24.8400,17.5494,1303029500,0.0000
2005-05-31,25.2300,26.0900,24.3100,25.8000,18.2277,1270563700,0.0800
2005-04-29,24.2400,25.4500,23.9400,25.3000,17.8185,1520253700,0.0000
2005-03-31,25.2000,25.7900,23.8200,24.1700,17.0226,1541411300,0.0000
2005-02-28,26.2500,26.5000,25.1296,25.1600,17.7199,1361126000,0.0800
2005-01-31,26.8000,27.1000,25.6400,26.2800,18.4518,1521414300,0.0000
2004-12-31,26.9500,27.4400,26.6790,26.7200,18.7607,1803777700,0.0000
2004-11-30,28.1500,30.2000,24.8600,26.8100,18.8239,1739407300,3.0800
2004-10-29,27.8100,28.8900,27.4200,27.9700,17.6532,1300591200,0.0000
2004-09-30,27.2400,27.7900,26.7400,27.6500,17.4513,1141012300,0.0000
2004-08-31,28.2700,28.5500,25.9500,27.3000,17.2304,1094195300,0.0800
2004-07-30,28.6900,29.8900,27.2500,28.4900,17.9288,1550446900,0.0000
2004-06-30,26.1200,28.8000,25.8600,28.5600,17.9728,1534889700,0.0000
2004-05-28,26.2100,26.6000,25.4200,26.2300,16.5066,1141456900,0.0000
2004-04-30,24.9500,27.7200,24.8500,26.1300,16.4436,1558947800,0.0000
2004-03-31,26.6500,26.7200,24.0100,24.9300,15.6885,1703041000,0.0000
2004-02-27,27.6300,27.8000,26.3500,26.5300,16.6954,1032065600,0.0000
2004-01-30,27.5800,28.8300,27.2600,27.6500,17.4002,1232189000,0.0000
2003-12-31,25.9000,27.5500,25.5000,27.3700,17.2240,1476461300,0.0000
2003-11-28,26.3500,26.7500,24.8400,25.7100,16.1793,1442336700,0.0000
2003-10-31,28.0300,29.4600,25.9100,26.1400,16.4499,1400032500,0.1600
2003-09-30,26.7000,30.0000,26.4700,27.8000,17.3988,1253309100,0.0000
2003-08-29,26.3300,26.9500,25.4300,26.5200,16.5977,966506900,0.0000
2003-07-31,25.5900,27.8100,25.3900,26.4100,16.5289,1292011000,0.0000
2003-06-30,24.9800,26.5100,23.6000,25.6400,16.0470,1569995800,0.0000
2003-05-30,25.5400,26.5000,23.8900,24.6100,15.4023,1311003700,0.0000
2003-04-30,24.4600,26.4300,23.9500,25.5700,16.0031,1249617700,0.0000
2003-03-31,24.0200,26.8000,22.5500,24.2100,15.1520,1371902600,0.0000
2003-02-28,47.9300,49.1000,23.3000,23.7000,14.8328,910628150,0.0800
2003-01-31,52.3000,57.3200,47.0300,47.4600,14.8033,859331100,0.0000
2002-12-31,58.6500,58.9600,51.2600,51.7000,16.1258,634185100,0.0000
2002-11-29,52.4300,58.6400,51.9000,57.6800,17.9910,777998600,0.0000
2002-10-31,44.3200,54.0700,43.1900,53.4700,16.6779,1237685300,0.0000
2002-09-30,48.5200,51.1000,43.1100,43.7400,13.6430,847852900,0.0000
2002-08-30,47.5800,53.4500,43.8000,49.0800,15.3086,857878600,0.0000
2002-07-31,54.1200,54.9300,41.4100,47.9800,14.9655,1216094000,0.0000
2002-06-28,50.9900,56.4400,49.1700,54.7000,17.0615,917036500,0.0000
2002-05-31,52.1600,56.4400,48.3500,50.9100,15.8794,710133100,0.0000
2002-04-30,59.8300,60.4000,51.4400,52.2600,16.3005,708739700,0.0000
2002-03-28,59.0500,65.0000,58.3100,60.3100,18.8114,536622100,0.0000
2002-02-28,64.1500,64.5000,57.1500,58.3400,18.1969,565579600,0.0000
2002-01-31,66.6500,70.6200,61.3300,63.7100,19.8718,680057900,0.0000
2001-12-31,63.8300,69.8900,63.8000,66.2500,20.6641,488544500,0.0000
2001-11-30,60.0800,68.3400,59.6000,64.2100,20.0278,665484300,0.0000
2001-10-31,50.9400,63.6300,50.4100,58.1500,18.1376,875445500,0.0000
2001-09-28,57.1900,59.0800,47.5000,51.1700,15.9605,755412200,0.0000
2001-08-31,66.8000,67.5400,56.3000,57.0500,17.7945,576948200,0.0000
2001-07-31,72.0500,73.1500,64.2000,66.1900,20.6454,727600500,0.0000
2001-06-29,69.6000,76.1500,66.0100,73.0000,22.7695,724588900,0.0000
2001-05-31,67.6600,72.1500,67.2500,69.1800,21.5780,888652900,0.0000
2001-04-30,54.8100,71.1000,51.0600,67.7500,21.1320,1037903500,0.0000
2001-03-30,58.5600,61.1300,49.7500,54.6900,17.0584,947674900,0.0000
2001-02-28,60.8100,65.0600,53.8800,59.0000,18.4027,768447800,0.0000
2001-01-31,44.1300,64.7500,42.8800,61.0600,19.0453,1002765600,0.0000
2000-12-29,58.0600,60.6300,40.3100,43.3800,13.5307,1028334100,0.0000
2000-11-30,68.5000,72.3700,57.0000,57.3800,17.8975,991731300,0.0000
2000-10-31,60.5000,70.1200,48.4400,68.8700,21.4813,1234707800,0.0000
2000-09-29,70.0000,72.0600,58.6300,60.3100,18.8114,712766900,0.0000
2000-08-31,69.9400,74.8700,68.1200,69.8100,21.7745,609699900,0.0000
2000-07-31,79.6900,82.8700,67.2500,69.8100,21.7745,617092900,0.0000
2000-06-30,64.3700,82.1900,63.8100,80.0000,24.9529,733525100,0.0000
2000-05-31,72.8700,74.0000,60.3800,62.5600,19.5131,672215400,0.0000
2000-04-28,94.4400,96.5000,65.0000,69.7500,21.7558,1129073300,0.0000
2000-03-31,89.6200,115.0000,88.9400,106.2500,33.1405,1014093800,0.0000
2000-02-29,98.5000,110.0000,88.1200,89.3700,27.8755,667243800,0.0000
2000-01-31,117.3700,118.6200,94.8700,97.8700,30.5267,637437600,0.0000
1999-12-31,91.0600,119.9400,90.8700,116.7500,36.4156,630488900,0.0000
